"","%IncMSE","IncNodePurity"
"GarageYrBlt1930",-1.03812881601675e-06,0.00890767918478666
"GarageYrBlt1931",-1.63682282028317e-06,0.0116331895454751
"GarageYrBlt1932",-6.38967942778798e-08,0.0036810986548138
"GarageYrBlt1933",0,5.99312874934065e-05
"GarageYrBlt1934",-1.73589635474121e-08,0.00174474054933127
"GarageYrBlt1935",-1.11528678122467e-09,0.00394833622543814
"GarageYrBlt1936",-3.4471143106566e-07,0.00430837538373082
"GarageYrBlt1937",0,0.000556885741219417
"GarageYrBlt1938",-1.28764290272243e-06,0.00691746005796676
"GarageYrBlt1939",2.3642998763422e-06,0.0232347867623835
"GarageYrBlt1940",-3.80461993426065e-06,0.0176338188071941
"GarageYrBlt1941",-9.42264953008195e-08,0.0270814465177797
"GarageYrBlt1942",1.01827059402744e-07,0.00159544649979549
"GarageYrBlt1943",0,0
"GarageYrBlt1945",3.07663279778753e-07,0.0220763383185857
"GarageYrBlt1946",-4.07732086683385e-08,0.0019169161096228
"GarageYrBlt1947",-4.35224527692266e-09,0.000570891146445083
"GarageYrBlt1948",-2.83834680742161e-07,0.0271341218628956
"GarageYrBlt1949",1.45188141672829e-07,0.00327706878446036
"GarageYrBlt1950",-2.69329838334593e-06,0.0131893490944702
"GarageYrBlt1951",-3.10372242453175e-07,0.0128052121352068
"GarageYrBlt1952",-5.33157653514304e-06,0.0387775489959631
"GarageYrBlt1953",-1.39498706528795e-06,0.00470343080589837
"GarageYrBlt1954",-3.90128586112139e-07,0.0214000612022773
"GarageYrBlt1955",4.35312535050453e-07,0.00395088691028148
"GarageYrBlt1956",-9.75761038374631e-07,0.0127641699345669
"GarageYrBlt1957",5.66945406040769e-08,0.0229036647157455
"GarageYrBlt1958",-1.54778656931806e-05,0.0354112324944423
"GarageYrBlt1959",1.34084238219095e-08,0.00712879490684578
"GarageYrBlt1960",-2.04266117226098e-06,0.0101413174844142
"GarageYrBlt1961",-4.50605259960297e-06,0.0190957675174248
"GarageYrBlt1962",-5.74306396679724e-07,0.00519388490899499
"GarageYrBlt1963",2.95650741956623e-07,0.00711278158496733
"GarageYrBlt1964",1.17834486610187e-06,0.00700376104176996
"GarageYrBlt1965",-1.05353912569154e-05,0.128946967427235
"GarageYrBlt1966",4.09222176092496e-07,0.0107440509203716
"GarageYrBlt1967",-3.93317332255383e-06,0.00681957554624512
"GarageYrBlt1968",-8.21239216274605e-06,0.0244158951538591
"GarageYrBlt1969",-5.80803743359994e-07,0.0111505788438992
"GarageYrBlt1970",2.07837238731945e-06,0.0259050397313842
"GarageYrBlt1971",1.7362154131821e-07,0.0060823713107215
"GarageYrBlt1972",1.57845975007007e-07,0.00709582918916669
"GarageYrBlt1973",-1.19934609506037e-06,0.00562843530844927
"GarageYrBlt1974",-2.14174803000749e-07,0.00515217739564847
"GarageYrBlt1975",-1.58067986960451e-06,0.00537040280779217
"GarageYrBlt1976",-6.46983035039644e-06,0.0219474888227346
"GarageYrBlt1977",1.87071921040412e-05,0.101897601821654
"GarageYrBlt1978",-4.9803322695536e-07,0.00653336834624102
"GarageYrBlt1979",-1.1449958279376e-07,0.00749175297835568
"GarageYrBlt1980",-1.48542741010211e-06,0.0157968375169278
"GarageYrBlt1981",6.79765598994056e-08,0.0039579185838712
"GarageYrBlt1982",3.51852783790293e-08,0.00318605071791374
"GarageYrBlt1983",1.61281470486535e-07,0.00161781701457826
"GarageYrBlt1984",4.39058380275703e-08,0.00196750816698552
"GarageYrBlt1985",4.1420077959729e-07,0.0030925597517967
"GarageYrBlt1986",8.9744416766248e-09,0.00160146612203176
"GarageYrBlt1987",8.5914811342598e-08,0.00654913820898505
"GarageYrBlt1988",-1.74845060542739e-07,0.00540885587149565
"GarageYrBlt1989",-2.02022773357552e-06,0.0124250610189808
"GarageYrBlt1990",2.76689238345087e-07,0.0051799444952215
"GarageYrBlt1991",-1.16670074671188e-08,0.00187214167095191
"GarageYrBlt1992",-9.99533011216511e-07,0.00357493076459375
"GarageYrBlt1993",-1.37770650633263e-06,0.00971787561019842
"GarageYrBlt1994",-5.08015523013761e-07,0.0108045330383452
"GarageYrBlt1995",-5.75307888692563e-07,0.0108818449747983
"GarageYrBlt1996",-5.9127737532914e-06,0.012873277914746
"GarageYrBlt1997",2.7280808176297e-07,0.00724201202228098
"GarageYrBlt1998",5.02766866771509e-07,0.00804716667946195
"GarageYrBlt1999",-6.82274999163573e-08,0.00631512542163752
"GarageYrBlt2000",-5.62861693586635e-07,0.0099268096742732
"GarageYrBlt2001",2.18995713462681e-07,0.00944848255401032
"GarageYrBlt2002",1.77406464880036e-06,0.00872672175356308
"GarageYrBlt2003",-4.63754102392105e-06,0.0207513704847105
"GarageYrBlt2004",6.7588440511879e-06,0.0189026511133705
"GarageYrBlt2005",5.22658096814882e-06,0.0155536255814889
"GarageYrBlt2006",-1.87829541448615e-06,0.0231833088865384
"GarageYrBlt2007",-8.94557510537153e-06,0.0381473928895181
"GarageYrBlt2008",1.49369925366414e-05,0.0441857054320173
"GarageYrBlt2009",-7.27729093274887e-06,0.020302100318029
"GarageYrBlt2010",8.11168366414546e-08,0.00152909403268295
"GarageYrBltNone",2.03921187472858e-05,0.17358246357872
"GarageCars",0.00335416957390201,8.13890742332614
"GarageArea",0.00253716984020552,6.2097027207798
"WoodDeckSF",0.000251359152954023,0.540685462932311
"OpenPorchSF",0.000442424467311427,0.955748802684032
"EnclosedPorch",3.27597998768021e-05,0.311324360816729
"X3SsnPorch",2.14948906273984e-07,0.0286905354811585
"ScreenPorch",2.93888957919765e-05,0.12023641355687
"PoolArea",9.65863797928325e-07,0.0143362411125177
"MiscFeatureGar2",0,0.00107952975496732
"MiscFeatureOthr",-2.53886935846675e-07,0.0108598651455235
"MiscFeatureShed",-1.36204348192331e-06,0.0229105689592539
"MiscFeatureTenC",0,0.000255915834245816
"MiscFeatureNone",-3.13165202023522e-06,0.0275925511325794
"MiscVal",-6.54465604323973e-06,0.0481235831347484
"MoSold1",6.57198529624958e-06,0.0802653734831312
"MoSold2",3.5361798100194e-05,0.108118461637898
"MoSold3",4.55293596384678e-06,0.0784450969068538
"MoSold4",9.89567732389609e-07,0.0723457872478094
"MoSold5",2.04520945526122e-06,0.0661887430107471
"MoSold6",1.06101105709763e-05,0.0798259364160065
"MoSold7",-3.69122571569491e-06,0.0859044950011787
"MoSold8",-1.21493106943121e-05,0.0720865327115746
"MoSold9",-7.1442636894334e-07,0.0359510824919746
"MoSold10",-6.66621346463378e-07,0.0646531969673667
"MoSold11",2.41054565310343e-06,0.0781957900501383
"MoSold12",7.2166344048756e-07,0.100478287738236
"YrSold2006",9.21220069664642e-06,0.0902746672250758
"YrSold2007",-1.20628934966775e-07,0.0899437363327652
"YrSold2008",1.23066071603273e-06,0.087048595598696
"YrSold2009",-1.48901452046422e-06,0.124534415027961
"YrSold2010",-8.79595872394061e-06,0.071870203270825
"SaleTypeCOD",-5.80050355569241e-07,0.0396975592807697
"SaleTypeCon",3.3478300089481e-08,0.00209168231216856
"SaleTypeConLD",1.84017196588592e-06,0.0161114215428655
"SaleTypeConLI",1.60853113608585e-07,0.00340140795465164
"SaleTypeConLw",-2.20510728982391e-09,0.00497975193443962
"SaleTypeCWD",-3.63217282779829e-08,0.00809522446135608
"SaleTypeNew",2.58789552569807e-05,0.0733102712189759
"SaleTypeOth",-8.8428023376227e-08,0.00547370761265568
"SaleTypeWD",3.96058214568319e-05,0.117197703485816
"SaleConditionAbnorml",3.87664007925471e-05,0.251275365280573
"SaleConditionAdjLand",-3.87695607869359e-07,0.00273726122087528
"SaleConditionAlloca",5.87948243866337e-06,0.0428692953542591
"SaleConditionFamily",1.47866858160558e-05,0.194004389649564
"SaleConditionNormal",8.98240392129746e-05,0.227430062760629
"SaleConditionPartial",2.61362922317084e-05,0.0667003955818782
"TotalSF",0.0539265601111482,68.0795994497056
"TotalSFMisc",0.000919507686415143,1.33504709789348
